tile_name,patch_file,lon_center,lat_center
8602837_3334180.tif,8601805.7442_3332842.5395.png,8601805.744191594,3332842.539526094
8602837_3334180.tif,8602111.4923_3332842.5395.png,8602111.49230469,3332842.539526094
8602837_3334180.tif,8602417.2404_3332842.5395.png,8602417.24041779,3332842.539526094
8602837_3334180.tif,8602722.9885_3332842.5395.png,8602722.988530887,3332842.539526094
8602837_3334180.tif,8603028.7366_3332842.5395.png,8603028.736643985,3332842.539526094
8602837_3334180.tif,8603334.4848_3332842.5395.png,8603334.484757084,3332842.539526094
8602837_3334180.tif,8603640.2329_3332842.5395.png,8603640.23287018,3332842.539526094
8602837_3334180.tif,8603945.9810_3332842.5395.png,8603945.98098328,3332842.539526094
8602837_3334180.tif,8604175.2921_3332842.5395.png,8604175.292068101,3332842.539526094
8602837_3336932.tif,8601499.9961_3338269.5685.png,8601499.996078495,3338269.568533582
8602837_3336932.tif,8601805.7442_3338269.5685.png,8601805.744191594,3338269.568533582
8602837_3336932.tif,8602111.4923_3338269.5685.png,8602111.49230469,3338269.568533582
8602837_3336932.tif,8602417.2404_3338269.5685.png,8602417.24041779,3338269.568533582
8602837_3336932.tif,8602722.9885_3338269.5685.png,8602722.988530887,3338269.568533582
8602837_3336932.tif,8603028.7366_3338269.5685.png,8603028.736643985,3338269.568533582
8602837_3336932.tif,8603334.4848_3338269.5685.png,8603334.484757084,3338269.568533582
8602837_3336932.tif,8603640.2329_3338269.5685.png,8603640.23287018,3338269.568533582
8602837_3336932.tif,8603945.9810_3338269.5685.png,8603945.98098328,3338269.568533582
8602837_3336932.tif,8604175.2921_3338269.5685.png,8604175.292068101,3338269.568533582
8602837_3336932.tif,8601499.9961_3337963.8204.png,8601499.996078495,3337963.820420484
8602837_3336932.tif,8601805.7442_3337963.8204.png,8601805.744191594,3337963.820420484
8602837_3336932.tif,8602111.4923_3337963.8204.png,8602111.49230469,3337963.820420484
8602837_3336932.tif,8602417.2404_3337963.8204.png,8602417.24041779,3337963.820420484
8602837_3336932.tif,8602722.9885_3337963.8204.png,8602722.988530887,3337963.820420484
8602837_3336932.tif,8603028.7366_3337963.8204.png,8603028.736643985,3337963.820420484
8602837_3336932.tif,8603334.4848_3337963.8204.png,8603334.484757084,3337963.820420484
8602837_3336932.tif,8603640.2329_3337963.8204.png,8603640.23287018,3337963.820420484
8602837_3336932.tif,8603945.9810_3337963.8204.png,8603945.98098328,3337963.820420484
