tile_name,lon_center,lat_center
8602837_3336932.tif,8604175.292068101,3336435.079854993
8602837_3336932.tif,8601499.996078495,3336129.331741895
8602837_3336932.tif,8601805.744191594,3336129.331741895
8602837_3336932.tif,8602111.49230469,3336129.331741895
8602837_3336932.tif,8602417.24041779,3336129.331741895
8602837_3336932.tif,8602722.988530887,3336129.331741895
8602837_3336932.tif,8603028.736643985,3336129.331741895
8602837_3336932.tif,8603334.484757084,3336129.331741895
8602837_3336932.tif,8603640.23287018,3336129.331741895
8602837_3336932.tif,8603945.98098328,3336129.331741895
8602837_3336932.tif,8604175.292068101,3336129.331741895
8602837_3336932.tif,8601499.996078495,3335823.5836287965
8602837_3336932.tif,8601805.744191594,3335823.5836287965
8602837_3336932.tif,8602111.49230469,3335823.5836287965
8602837_3336932.tif,8602417.24041779,3335823.5836287965
8602837_3336932.tif,8602722.988530887,3335823.5836287965
8602837_3336932.tif,8603028.736643985,3335823.5836287965
8602837_3336932.tif,8603334.484757084,3335823.5836287965
8602837_3336932.tif,8603640.23287018,3335823.5836287965
8602837_3336932.tif,8603945.98098328,3335823.5836287965
8602837_3336932.tif,8604175.292068101,3335823.5836287965
8602837_3336932.tif,8601499.996078495,3335594.272543973
8602837_3336932.tif,8601805.744191594,3335594.272543973
8602837_3336932.tif,8602111.49230469,3335594.272543973
8602837_3336932.tif,8602417.24041779,3335594.272543973
8602837_3336932.tif,8602722.988530887,3335594.272543973
8602837_3336932.tif,8603028.736643985,3335594.272543973
8602837_3336932.tif,8603334.484757084,3335594.272543973
8602837_3336932.tif,8603640.23287018,3335594.272543973
8602837_3336932.tif,8603945.98098328,3335594.272543973
8602837_3336932.tif,8604175.292068101,3335594.272543973
8602837_3339684.tif,8601499.996078495,3341021.301551464
8602837_3339684.tif,8601805.744191594,3341021.301551464
8602837_3339684.tif,8602111.49230469,3341021.301551464
8602837_3339684.tif,8602417.24041779,3341021.301551464
8602837_3339684.tif,8602722.988530887,3341021.301551464
8602837_3339684.tif,8603028.736643985,3341021.301551464
8602837_3339684.tif,8603334.484757084,3341021.301551464
8602837_3339684.tif,8603640.23287018,3341021.301551464
8602837_3339684.tif,8603945.98098328,3341021.301551464
8602837_3339684.tif,8604175.292068101,3341021.301551464
8602837_3339684.tif,8601499.996078495,3340715.5534383664
8602837_3339684.tif,8601805.744191594,3340715.5534383664
8602837_3339684.tif,8602111.49230469,3340715.5534383664
8602837_3339684.tif,8602417.24041779,3340715.5534383664
8602837_3339684.tif,8602722.988530887,3340715.5534383664
8602837_3339684.tif,8603028.736643985,3340715.5534383664
8602837_3339684.tif,8603334.484757084,3340715.5534383664
8602837_3339684.tif,8603640.23287018,3340715.5534383664
8602837_3339684.tif,8603945.98098328,3340715.5534383664
8602837_3339684.tif,8604175.292068101,3340715.5534383664
8602837_3339684.tif,8601499.996078495,3340409.805325268
8602837_3339684.tif,8601805.744191594,3340409.805325268
8602837_3339684.tif,8602111.49230469,3340409.805325268
8602837_3339684.tif,8602417.24041779,3340409.805325268
8602837_3339684.tif,8602722.988530887,3340409.805325268
8602837_3339684.tif,8603028.736643985,3340409.805325268
8602837_3339684.tif,8603334.484757084,3340409.805325268
8602837_3339684.tif,8603640.23287018,3340409.805325268
8602837_3339684.tif,8603945.98098328,3340409.805325268
8602837_3339684.tif,8604175.292068101,3340409.805325268
8602837_3339684.tif,8601499.996078495,3340104.05721217
8602837_3339684.tif,8601805.744191594,3340104.05721217
8602837_3339684.tif,8602111.49230469,3340104.05721217
8602837_3339684.tif,8602417.24041779,3340104.05721217
8602837_3339684.tif,8602722.988530887,3340104.05721217
8602837_3339684.tif,8603028.736643985,3340104.05721217
8602837_3339684.tif,8603334.484757084,3340104.05721217
8602837_3339684.tif,8603640.23287018,3340104.05721217
8602837_3339684.tif,8603945.98098328,3340104.05721217
8602837_3339684.tif,8604175.292068101,3340104.05721217
8602837_3339684.tif,8601499.996078495,3339798.3090990726
8602837_3339684.tif,8601805.744191594,3339798.3090990726
8602837_3339684.tif,8602111.49230469,3339798.3090990726
